State Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Final Year Factors
Louisiana,4567968,4601049 (0.72%),4625253 (0.53%),4645670 (0.44%),4663461 (0.38%),4663616 (0.00%),4664362 (0.02%),4664616 (0.01%),4657305 (-0.16%),4640546 (-0.36%),2;101;22973
Maine,1328320,1328535 (0.02%),1329100 (0.04%),1329923 (0.06%),1330158 (0.02%),1332813 (0.20%),1335492 (0.20%),1340825 (0.40%),1357046 (1.21%),1366949 (0.73%),61;22409
Maryland,5834299,5887776 (0.92%),5930538 (0.73%),5959902 (0.50%),5996079 (0.61%),6003435 (0.12%),6018848 (0.26%),6037624 (0.31%),6148545 (1.84%),6161707 (0.21%),101;61007
Massachusetts,6605058,6657291 (0.79%),6705586 (0.73%),6742143 (0.55%),6789319 (0.70%),6830193 (0.60%),6850553 (0.30%),6873003 (0.33%),6991852 (1.73%),6984205 (-0.11%),5;1396841
Michigan,9886095,9889024 (0.03%),9900571 (0.12%),9909600 (0.09%),9925568 (0.16%),9957488 (0.32%),9965265 (0.08%),9973907 (0.09%),10062512 (0.89%),10057921 (-0.05%),10057921
Minnesota,5347740,5383661 (0.67%),5419171 (0.66%),5450868 (0.58%),5490726 (0.73%),5527358 (0.67%),5563378 (0.65%),5600166 (0.66%),5670472 (1.26%),5695292 (0.44%),2;2;599;2377
Mississippi,2976872,2984345 (0.25%),2988081 (0.13%),2989192 (0.04%),2986220 (-0.10%),2988762 (0.09%),2984418 (-0.15%),2981835 (-0.09%),2967023 (-0.50%),2958846 (-0.28%),2;3;11;127;353
Missouri,6007182,6028076 (0.35%),6045448 (0.29%),6059651 (0.23%),6075300 (0.26%),6090062 (0.24%),6104910 (0.24%),6124160 (0.32%),6141534 (0.28%),6154422 (0.21%),2;3;71;14447
Montana,998554,1006370 (0.78%),1014699 (0.83%),1023391 (0.86%),1029862 (0.63%),1041732 (1.15%),1050649 (0.86%),1061705 (1.05%),1077978 (1.53%),1091840 (1.29%),2;2;2;2;2;2;2;2;5;853
Nebraska,1841625,1855617 (0.76%),1869365 (0.74%),1881259 (0.64%),1893921 (0.67%),1904760 (0.57%),1914571 (0.52%),1923826 (0.48%),1951480 (1.44%),1958939 (0.38%),41;47779
Nevada,2730066,2761584 (1.15%),2798636 (1.34%),2839172 (1.45%),2887725 (1.71%),2922849 (1.22%),2972382 (1.69%),3030281 (1.95%),3059238 (0.96%),3104817 (1.49%),3;257;4027
New Hampshire,1319171,1321069 (0.14%),1324201 (0.24%),1327503 (0.25%),1331848 (0.33%),1343622 (0.88%),1348124 (0.34%),1355244 (0.53%),1372175 (1.25%),1379610 (0.54%),2;3;3;5;15329
New Jersey,8832406,8874374 (0.48%),8904413 (0.34%),8915456 (0.12%),8960161 (0.50%),8881845 (-0.87%),8878503 (-0.04%),8885418 (0.08%),9234024 (3.92%),9249063 (0.16%),3;3083021
New Mexico,2069706,2080085 (0.50%),2084117 (0.19%),2082669 (-0.07%),2084828 (0.10%),2092434 (0.36%),2092454 (0.00%),2097021 (0.22%),2109366 (0.59%),2112463 (0.15%),71;29753
New York,19487053,19594330 (0.55%),19673174 (0.40%),19697457 (0.12%),19798228 (0.51%),19618453 (-0.91%),19572319 (-0.24%),19514849 (-0.29%),20114745 (3.07%),19994379 (-0.60%),3;827;8059
North Carolina,9651380,9750405 (1.03%),9845333 (0.97%),9940828 (0.97%),10052564 (1.12%),10155624 (1.03%),10264876 (1.08%),10386227 (1.18%),10367022 (-0.18%),10470214 (1.00%),2;251;20857
North Dakota,689781,704925 (2.20%),721640 (2.37%),736162 (2.01%),745475 (1.27%),752201 (0.90%),756717 (0.60%),760394 (0.49%),773344 (1.70%),776874 (0.46%),2;3;7;53;349
Ohio,11549590,11560380 (0.09%),11575977 (0.13%),11586941 (0.09%),11609756 (0.20%),11641879 (0.28%),11655397 (0.12%),11675275 (0.17%),11769923 (0.81%),11774683 (0.04%),11774683
Oklahoma,3785742,3818851 (0.87%),3849733 (0.81%),3875589 (0.67%),3896251 (0.53%),3918137 (0.56%),3932870 (0.38%),3949342 (0.42%),3948136 (-0.03%),3970497 (0.57%),3;1323499
Oregon,3868721,3900343 (0.82%),3939233 (1.00%),3982267 (1.09%),4025127 (1.08%),4081943 (1.41%),4129803 (1.17%),4176346 (1.13%),4207177 (0.74%),4229374 (0.53%),2;61;34667
Pennsylvania,12731381,12758729 (0.21%),12779559 (0.16%),12783977 (0.03%),12790505 (0.05%),12791181 (0.01%),12791530 (0.00%),12794885 (0.03%),12970650 (1.37%),12989208 (0.14%),2;2;2;3;541217
Rhode Island,1051695,1053252 (0.15%),1053661 (0.04%),1054491 (0.08%),1056138 (0.16%),1056611 (0.04%),1057231 (0.06%),1057798 (0.05%),1091949 (3.23%),1094250 (0.21%),2;3;5;5;5;1459
South Carolina,4679602,4727273 (1.02%),4777576 (1.06%),4834605 (1.19%),4893444 (1.22%),4955925 (1.28%),5020806 (1.31%),5091517 (1.41%),5078903 (-0.25%),5142750 (1.26%),2;3;5;5;5;6857
South Dakota,825198,834708 (1.15%),843190 (1.02%),851058 (0.93%),855444 (0.52%),864289 (1.03%),870638 (0.73%),879336 (1.00%),881785 (0.28%),890342 (0.97%),2;367;1213
Tennessee,6402387,6451365 (0.76%),6499615 (0.75%),6548009 (0.74%),6597381 (0.75%),6651089 (0.81%),6709356 (0.88%),6772268 (0.94%),6859497 (1.29%),6923772 (0.94%),2;2;3;3;3;64109
Texas,25639373,26092033 (1.77%),26538614 (1.71%),26956435 (1.57%),27419612 (1.72%),27885195 (1.70%),28260856 (1.35%),28635442 (1.33%),28862581 (0.79%),29243342 (1.32%),2;1487;9833
Utah,2813673,2858111 (1.58%),2903379 (1.58%),2948427 (1.55%),2993941 (1.54%),3045350 (1.72%),3096848 (1.69%),3151239 (1.76%),3231370 (2.54%),3283809 (1.62%),3;1094603
Vermont,625904,626358 (0.07%),626604 (0.04%),626249 (-0.06%),624636 (-0.26%),624977 (0.05%),624313 (-0.11%),624340 (0.00%),641637 (2.77%),643816 (0.34%),2;2;2;23;3499
Virginia,8100653,8185131 (1.04%),8256630 (0.87%),8310301 (0.65%),8365952 (0.67%),8413774 (0.57%),8454463 (0.48%),8509358 (0.65%),8582479 (0.86%),8624511 (0.49%),3;3;7;136897
Washington,6819579,6899123 (1.17%),6985464 (1.25%),7073146 (1.26%),7169967 (1.37%),7294336 (1.73%),7404107 (1.50%),7512465 (1.46%),7617364 (1.40%),7688549 (0.93%),11;149;4691
West Virginia,1853619,1853881 (0.01%),1851420 (-0.13%),1846092 (-0.29%),1836843 (-0.50%),1829054 (-0.42%),1817305 (-0.64%),1807426 (-0.54%),1801049 (-0.35%),1792967 (-0.45%),11;162997
Wisconsin,5706871,5724692 (0.31%),5742117 (0.30%),5754798 (0.22%),5763217 (0.15%),5778394 (0.26%),5790716 (0.21%),5806975 (0.28%),5871661 (1.11%),5882128 (0.18%),2;2;2;2;7;29;1811
Wyoming,570134,575251 (0.90%),579679 (0.77%),583029 (0.58%),583200 (0.03%),581836 (-0.23%),581024 (-0.14%),581348 (0.06%),576641 (-0.81%),577929 (0.22%),3;11;83;211
Puerto Rico,3682966,3638965 (-1.19%),3583073 (-1.54%),3529385 (-1.50%),3468963 (-1.71%),3386941 (-2.36%),3318447 (-2.02%),3255642 (-1.89%),3311274 (1.71%),3272382 (-1.17%),2;3;3;137;1327
